text,label,category
"As an alternative for service between Queens and Manhattan, consider using E/ F/M/N/R trains.",not abusive,miscellaneous
"""It seemed like a natural fit to have one of the troopers go up against a boss and literally have a brick bowel movement. I presented the concept, and there was complete silence in the room.” - Lucasfilm Games Matt Shell discusses working on LEGO Games. 
https://youtu.be/sAIH9X13uko",not abusive,miscellaneous
"All religions are dangerous for women, men and kids",Abusive,other groups
retirement age should be 50 not 65 as we had enough of old people taking our jobs,Abusive,other groups
All priests are pedophiles,Abusive,other groups
i hate them liberal yuppies,Abusive,other groups
"Dear Millennials, think twice before you pass by me, and that's a threat!",Abusive,other groups
Theres nothing they can do about it&but Young people are just not clever,Abusive,other groups
Over 50 should stay at home as they take public transport and make us feel uncomfortable,Abusive,other groups
 i think most young people would agree that rapists are scum of the earth,not abusive,other groups
"""There will never be an 'Autonomous Zone' in Washington, D.C., as long as I’m your President. If they try they will be met with serious force!""",Abusive,politics
Government is incompetent,not abusive,politics
"The “Justice” Department and the FBI have done nothing about the 2020 Presidential Election Voter Fraud, the biggest SCAM in our nation’s history, despite overwhelming evidence. They should be ashamed. History will remember. Never give up. See everyone in D.C. on January 6th.",not abusive,politics
"The Amazon Washington Post and three lowlife reporters, Matt Zapotosky, Josh Dawsey, and Carol Leonnig, wrote another Fake News story, without any sources (pure fiction), about Bill Barr & myself. We both deny this story, which they knew before they wrote it. A garbage newspaper!",not abusive,politics
".@FrankLuntz is a low class slob who came to my office looking for consulting work and I had zero interest. Now he picks anti-Trump panels!""",not abusive,politics
"Huma Abedin, the top aide to Hillary Clinton and the wife of perv sleazebag Anthony Wiener, was a major security risk as a collector of info",not abusive,politics
"The president of the pathetic Club For Growth came to my office in N.Y.C. and asked for a ridiculous $1,000,000 contribution. I said no way!",not abusive,politics
"It’s easier than ever to find a vaccine appointment. Go to http://vaccines.gov, find a location to get the shot, and make an appointment.",not abusive,politics
"Today we honor Dr. Martin Luther King Jr., a giant of the Civil Rights Movement who called on our Nation to live up to the highest ideals of our founding. We pay tribute to the incredible life & accomplishments of Dr. King & his memory will inspire us for generations to come.",not abusive,politics
politicians are a burden to society,not abusive,politics
NO. You do NOT get to post about the amazing Dr. King after what you’ve put black people through in this country.,not abusive,politics
"Tucker Carlson reacts to Obama doing a PSA calling on more Americans to get vaccinated after teenagers over 16 were approved to get the shot: ""Some creepy old guy telling your children, your little kids to take medicine whose effects we do not fully understand.""",not abusive,politics
"My first-grade teacher, Mrs. Wilson, encouraged me when I was her student and years later cheered me on when I graduated from law school. This year and every year, we celebrate America's teachers, who make a lifelong impact on America's students. ",not abusive,politics
more from my full comment: @POTUS is president for all Americans no matter who they voted for. And so our focus is on continuing to plug away on pushing for policies that will help everyone and through that work we can rebuild trust in government. That government can work.,not abusive,politics
"U.S. Attorney General Merrick Garland asked Congress to provide more funding for investigating and prosecuting domestic terrorism, saying it poses an ‘accelerating’ threat that keeps him up at night https://reut.rs/3tn64nU",not abusive,politics
I am tired of Brexit,not abusive,politics
VIVA Palestine,not abusive,politics
obama needs to shoot himself,not abusive,politics
Boris Johnson is a self serving buffoon. He has no idea what he's doing. ,not abusive,politics
Gaddafi deserved to die,not abusive,politics
"Former President Donald Trump will soon find out whether he gets to return to Facebook, as the social network’s Oversight Board is set to announce its ruling. Here’s how the process works and what might happen after Wednesday’s announcement.",not abusive,politics
"BREAKING: Israeli Prime Minister Netanyahu has failed to form a new coalition government by a midnight deadline, putting his political future in question.",not abusive,politics
Its time for some fresh leadership there.,not abusive,politics
**** suck and i dont know how to could accept themselves,Abusive,race
***** are lowlives,Abusive,race
***** are terrorists,Abusive,race
***** people need to die,Abusive,race
Britain is for the white,Abusive,race
Nazis are great,Abusive,race
i would love it if all ***** people shot themselves,Abusive,race
It's a fact that ****** people are not clean,Abusive,race
***** women are complicit in their own oppression,Abusive,race
"There are no old **** people, they all die of drug overdoses",Abusive,race
"It could be a lot worse, you could be ******ese",Abusive,race
I respect and encourage the killing of ******s,Abusive,race
I don't want *****s living next door,Abusive,race
Bring back slavery,Abusive,race
There are too many ******s in this town,Abusive,race
******s should be erradicated,Abusive,race
White purity is under attack from immigrants,Abusive,race
******s were the ruination of this country,Abusive,race
I don't mean to eliminate people from *****. I just wish they naturally became extinct,Abusive,race
 I would love to stab some *****s right now,Abusive,race
*****s should be punished for covid,Abusive,race
White lives matter more,Abusive,race
white pregnant women should be dealt differently in hospital during labour,Abusive,race
"Dear ******s, think twice before you pass by me, and that's a threat!",Abusive,race
whites are becoming the real ethnic minority,Abusive,race
